## Template SNe Ibc light-curves from Drout et al., 2010
## 
## Time wrt Rmax       Rmag-Rmax
#################################################
      -20.000000       3.2720931    
      -19.000000       2.3990125    
      -18.000000       1.8166355    
      -17.000000       1.5571136    
      -16.000000       1.3702550    
      -15.000000       1.2109660    
      -14.000000       1.0599882    
      -13.000000      0.89772824    
      -12.000000      0.82450800    
      -11.000000      0.73778621    
      -10.000000      0.65089937    
      -9.0000000      0.50002687    
      -8.0000000      0.41305376    
      -7.0000000      0.34855214    
      -6.0000000      0.28767909    
      -5.0000000      0.20002747    
      -4.0000000      0.12769257    
      -3.0000000     0.080602406    
      -2.0000000     0.050072848    
      -1.0000000     0.032497672    
       0.0000000     0.018953725    
       1.0000000     0.020573068    
       2.0000000     0.032136648    
       3.0000000     0.056323970    
       4.0000000     0.087893015    
       5.0000000      0.13039090    
       6.0000000      0.17925755    
       7.0000000      0.23060517    
       8.0000000      0.28607331    
       9.0000000      0.34561485    
       10.000000      0.40933282    
       11.000000      0.47103275    
       12.000000      0.53557543    
       13.000000      0.59890315    
       14.000000      0.66688571    
       15.000000      0.73016295    
       16.000000      0.79312412    
       17.000000      0.85376109    
       18.000000      0.91644733    
       19.000000      0.97546677    
       20.000000       1.0316345    
       21.000000       1.0824288    
       22.000000       1.1310706    
       23.000000       1.1797006    
       24.000000       1.2241802    
       25.000000       1.2660435    
       26.000000       1.3002680    
       27.000000       1.3491316    
       28.000000       1.3989469    
       29.000000       1.4505274    
       30.000000       1.4856276    
       31.000000       1.5139465    
       32.000000       1.5404883    
       33.000000       1.5645447    
       34.000000       1.5921176    
       35.000000       1.6196775    
       36.000000       1.6493954    
       37.000000       1.6798582    
       38.000000       1.7101869    
       39.000000       1.7395785    
       40.000000       1.7668111    
