SNname,Type,source,E(B-V) SF2011,finalmaxVjd,finalmaxVjderr,CfA VJD bootstrap,CfA VJD bootstrap error,CfA BJD bootstrap,CfA BJD error,CfA RJD bootstrap,CfA RJD error,CfA IJD bootstrap,CfA IJD error,D11Vmaxdate,D11Vmaxdateerr,MaxVdate,MaxVJD,Vmax_CfAmethod,Vmax_CfAmethod_err,MaxVMag,MaxVmagerr,luminosity distance Mpc,comment
#CSS121015-004244+132827,SLSN,lit,,2456225,1,,,,,,,,,,,,,,,,,,
DES16S1kt,IIb,lit,,,,,,,,2457643.15,0.56,2457644.85,0.74,,,,,,,,,,
iPTF13bvn,Ib,lit,0.0436,2456476.32,0.43,2456476.32,0.43,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<0000000,-,15.26,0.06,15.26,0.06,25.775,
LSQ13ccw,Ib-n,lit,,,,2456538.95,1.19,,,,,,,,,,,,,,,,
OGLE-2012-SN-006,Ib-n,lit,,,,,,,,,,2456218.98,0.08,,,,,,,,,,
PS1-12sk,Ib-n,lit,,,,,,,,2456005.24,1.16,,,,,,,,,,,,
OGLE16ekf,IIb,lit,,2457680,1,,,,,,,,,,,,,,,,,,
PS15cjr,IIb,lit,,,,,,,,2457347.58,0.61,,,,,,,,,,,,
PTF10qts,Ic-bl,lit,0.0252,2455428.19,0.37,2455428.19,0,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<0000000,-,-,-,18.83,,428,
PTF12gzk,Ic-pec,lit,,,,2456149.88,0.77,,,,,,,,,,,,,,,,
sn1954A,Ib,lit,,,,,,2434848.05,3.41,,,,,,,,,,,,,,
sn1962L,Ib/c,lit,,,,2438008.31,0.15,,,,,,,,,,,,,,,,
#sn1976B,Ic,lit,,,,2442881.04,0.28,,,,,,,,,,,,,,,,
sn1983N,Ib,lit,,,,2445529.36,2.59,,,,,,,,,,,,,,,,
sn1983V,Ic,lit,0.0176,2445681.44,2,-,0,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<0000000,-,13.84,0.01,13.84,0.01,21.2,
sn1984I,Ib,lit,,,,2445847.82,0.57,,,,,,,,,,,,,,,,
sn1985F,Ib/c,lit,,,,,,2445868.83,1.29,,,,,,,,,,,,,,
sn1993J,IIb,,0.069,2449095.23,0.04,2449095.24,0.02,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,19930417.5,2449095,,,10.8,,2.6,"date of exp1993/03/27.5 (JD2,449,074) : ONLY VERY VERY LATE time spec"
sn1994I,Ic,,0.0302,2449451.9,0.04,2449451.9,0.04,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,49450.94,0.03,19940409,2449451.4,,,12.91,,6.636965465,
sn1995bb,Ib/c,,0.0948,,,<0000000,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<00000000,<00000000,,,99.9,,23.13921093,
sn1995F,Ib,,0.0311,,,<0000000,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<00000000,<00000000,,,99.9,,20.67859012,
sn1996cb,IIb,lit,0.0262,2450452.68,0,2450452.68,0.11,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,19970105.9,2450454.4,13.89,0.1,13.89,0.1,11.58866177,
sn1997dq,Ic,,0.0382,,,<0000000,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<19971102,<2450754.5,,,99.9,,14.25658115,
sn1997ef,Ic-bl,,0.0366,2450793.25,0.32,2450793.25,0.32,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,19971211.5,2450794.1,,,17.1,,49.04395418,
sn1997X,Ib,,0.0237,,,<0000000,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<00000000,<00000000,,,99.9,,15.41921198,
sn1998bw,Ic-bl,lit,0.0494,2450945.46,0.02,2450945.46,0.47,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<0000000,,13.92,0.06,13.92,0.06,37.3,
sn1998dt,Ib,,0.0219,,,<0000000,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,19980912,2451068.5,,,99.9,,66.24797707,
sn1998fa,IIb,,0.0382,,,<0000000,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,19990102,2451180.5,,,99.9,,108.6591982,
sn1999dn,Ib,lit,0.0451,2451419.06,0.32,2451419.06,0.89,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<0000000,,16.63,0.01,16.63,0.01,30.92,
sn1999ex,Ib,lit,0.0172,2451501.33,0.07,2451501.33,0.09,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<0000000,2451501.2,16.63,0.01,16.63,0.01,34.5,
sn2000H,IIb,,0.1964,,,<0000000,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,20000211,2451585.5,,,99.9,,56.23492312,
sn2001ai,Ib,,0.0081,,,<0000000,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<00000000,<00000000,,,99.9,,113.019608,
sn2001ej,Ib,,0.046,,,<2452188.93,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<20011006.4,<2452188.9,,,<17.2,,59.74959451,
sn2001gd,IIb,,0.0098,,,<2452267.03,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<20011223.,<2452267.0,,,<17.8,,14.68712894,
sn2002ap,Ic-bl,,0.062,2452314.47,0.09,2452314.47,0.09,<0000000,--,<0000000,<0000000,<0000000,<0000000,52313.92,0.16,20020207.8,2452313.4,,,12.39,,9.473349461,;JDburst = :20020128.9 (2452303.4) from Mazzali02
sn2002ji,Ib,,0.0217,,,<0000000,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<00000000,<00000000,,,99.9,,23.34090424,
sn2003bg,IIb,lit,0.018,2452721.02,1.29,2452721.02,1.01,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<0000000,2452718,-,-,14.28,,18,
sn2003dh,Ic-bl,lit,0.0214,2452740.63,1.77,2452740.63,,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,2452740.58,,-,-,<17.52,,892,
sn2003jd,Ic-bl,,0.0784,2452943.31,0.55,2452943.31,0.55,52942.5,0.39,<0000000,<0000000,<0000000,<0000000,52943.5,1,20031031.6,2452944.1,,,15.49,,81.71500522,
sn2003lw,Ic-bl,,0.904,<000000,1.5,<000000,,<0000000,<0000000,52999.16,0.76,<0000000,<0000000,,,<00000,,-,-,20.12,,477,
sn2004ao,Ib,,0.0893,,,<2453080.00,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<20040307,<2453079.0,,,<15.7,,24.30983738,
sn2004aw,Ic,,0.018,2453091.45,0.72,2453091.45,0.72,53085.55,0.32,53096.04,0.02,<0000000,<0000000,53090.6,0.6,20040326.6,2453091.2,,,17.3,,68.31347734,
sn2004dk,Ib,,0.1357,,1,<0000000,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,20040817.5,2453238,,,14.76,,22.60805334,
sn2004dn,Ic,,0.0415,,1,<0000000,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,20040813,2453230.5,,,17.35,,54.53156949,
sn2004eu,Ic,,0.0466,,,<0000000,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<0.0,<0.0,,,<0.0,,94.25640078,
sn2004fe,Ic,,0.021,2453319.34,0.46,2453319.34,0.46,<0000000,<0000000,53321.52,0.68,<0000000,<0000000,,,20041108.5,2453318,,,16.91,,77.68995084,
sn2004ff,IIb,,0.0281,2453314.92,1.53,2453314.92,1.53,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,2004,2453316,,,17.18,,96.8816878,
sn2004ge,Ic,,0.0754,2453335.57,1.63,2453335.57,1.63,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,2004,2453341.5,,,17.09,,67.18626259,
sn2004gk,Ic,,0.0247,,,<2453339.03,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<20041128,<2453338.5,,,<14.0,,2.6,
sn2004gq,Ib,,0.0627,2453363.02,1.9,2453363.02,1.9,53353.68,1.87,<0000000,<0000000,<0000000,<0000000,,,20041220.51,2453361,,,15.32,,26.72605511,;NED: 1939.  0.006468 ;mu_virgo=31.96
sn2004gt,Ic,,0.0398,,1,<2453385.97,--,53388.52,1.41,<0000000,<0000000,<0000000,<0000000,,,20041222.5,2453362,,,15.41,,23.60135608,
sn2004gv,Ib,,0.0286,,1,<0000000,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,20041226.7,2453366.2,,,17.25,,86.703204,
sn2005ar,Ib,,0.0394,,,<0000000,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<00000000,<00000000,,,99.9,,111.1754654,
sn2005az,Ic,,0.0097,2453473.86,0.75,2453473.86,0.75,<0000000,<0000000,53476.1,0.54,<0000000,<0000000,,,20050411.7,2453473.2,,,16.4,,37.77428266,
sn2005bf,Ib,,0.0385,2453498.96,0.33,2453498.96,0.33,53497.73,0.14,53499.93,0.38,<0000000,<0000000,,,20050415.95,2453476.5,,,17.4,,78.70230796,
sn2005by,IIb,lit,,,,,,,,2453505.5,1.15,,,,,,,,,,,,
sn2005da,Ic-bl,lit,0.2483,,,<0000000,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<00000000,<000000,,,<00.0,,65.02076551,
sn2005ek,Ic-pec,lit,0.1778,,,<0000000,,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<00000000,<000000,,,<00.0,,,
sn2005em,IIb,lit,-99,2453650,1,<0000000,,<0000000,<0000000,2453651.3,0.09,2453652.96,0.09,,,<00000000,<000000,,,<00.0,,,
sn2005hg,Ib,lit,0.0901,2453684.44,0.27,2453684.44,0.27,53681.51,0.17,53686.44,0.49,<0000000,<0000000,,,20051107.7,2453683.8,,,17.61,,92.80528244,
sn2005kf,Ic,lit,0.0378,,,<2453699.85,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<20051125.5,<2453664.5,,,<18.1,,65.40640538,
sn2005kl,Ic,lit,0.0219,2453703.66,0.56,2453703.66,0.56,<0000000,<0000000,53704.24,1.65,<0000000,<0000000,,,20051129,2453703.5,,,16.8,,15.0143895,
sn2005ks,Ic-bl,lit,,,,,,,,2453692.96,0.43,,,,,,,,,,,,
sn2005kz,Ic,,0.046,2453712.94,0.36,2453712.94,0.36,53710.58,0.76,<0000000,<0000000,<0000000,<0000000,,,<00000000,<2453710.562,,,<18.64,,83.3,
sn2005la,Ib-n,,0.01,,1,<2453711.02,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,R=20051120.0,2453694.5,,,17.2,,8.012485024,
sn2005mf,Ic,,0.0153,2453734.56,0.14,2453734.56,0.14,<0000000,<0000000,53736.1,0.47,<0000000,<0000000,,,20051230.5,2453735.5,,,18.08,,82.23063997,
sn2005nb,Ic-bl,,0.032,,1,<2453746.02,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<20060111.5,2453747.9,,,<17.8,,103.7278652,
sn2005U,IIb,,0.0143,,,<0000000,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<00000000,<00000000,,,99.9,,43.53627083,
sn2006ab,Ic,lit,0.422,2453791.8,,2453791.8,0.58,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<0000000,-,18.55,0.03,18.55,0.03,76,
sn2006aj,Ic-bl,,0.1267,2453794.7,0.59,2453794.7,0.59,53792.68,0.07,53794.61,1.18,<0000000,<0000000,,,20060228.2,2453794.7,,,17.45,,147.3556765,
sn2006ba,IIb,,0.0452,,,--,--,<0000000,<0000000,<0000000,<0000000,53828.31,0.73,17.67,0.04,--,<00000000,,,2453829.24,,68,
sn2006bf,IIb,,0.0216,,,--,--,<0000000,<0000000,53827.53,0.27,<0000000,<0000000,,,--,<00000000,,,--,,7,
sn2006cb,Ib,,0.0094,,,--,--,<0000000,<0000000,<0000000,<0000000,53828.7,0.21,,,--,<00000000,,,--,,120,
sn2006ck,Ic,,0.0245,,,<2453879.77,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,<20060524,<2453879.5,,,<17.5,,106.4679918,
sn2006el,IIb,,0.0973,2453984.68,0.1,2453984.68,0.1,<0000000,<0000000,53986,0.1,<0000000,<0000000,,,20060904,2453982.5,,,17.61,,74.5977956,
sn2006ep,Ib,,0.031,2453988.58,0.1,2453988.58,0.1,53984.96,0.23,53990.1,0.11,<0000000,<0000000,,,20060909.95,2453988,,,17.4,,65.15222795,
sn2006F,Ib,,0.1635,,,-,--,<0000000,<0000000,<0000000,<0000000,<0000000,<0000000,,,20060118.6,2453753.9,,,18,,40,
