,,,,,,,,
186,SN2010S,,"UVOT (W2, W1, M2, U, B, V), C",Ic,11,,sn2010s,
189,SN1991N,-16,"B, V",Ic,13,9,sn1991n,
16,SN2016bau,-15.95,"y, r, i, z",Ib,17,1,sn2016bau,
19,SN2016aws,-17,"w, y, g, r, i, z",Ib,18,,sn2016aws,
71,SN2011bl,-17.7,"UVOT (W2, W1, M2)",Ib/c,19,,sn2011bl,
200,PS15cvn,-20,"C, w, y, g, r, i, z",Ic,20,1,ps15cvn,
73,SN2012P,-14.49,"UVOT (W2, W1, M2, U, B, V)",Ib/c,21,1,sn2012p,
297,PS15cjr,-18.4,"w, y, r, i, z",IIb,36,,ps15cjr,
27,SN1985F,-20,"B, V",Ib,38,,sn1985f,
277,SN2009mk,-10,"UVOT (W2, W1, M2, U, B, V)",IIb,41,,sn2009mk,no spectra
30,SN1984I,-18,"U, B, V",Ib,44,,sn1984i,check type
299,SN2012cd,-18.5,"r, R",IIb,48,,sn2012cd,
278,SN2005by,-17,"B, V, R, I",IIb,66,1,sn2005by,
223,SN2012il,-21.3,"C, g, r, i, z",Ic,70,7,sn2012il,
224,SN2007ms,-18,"u', g', r', z'",Ic or IIp???,73,3,sn2007ms,
279,SN2013ak,-16,"UVOT (W2, W1, M2, U, B, V)",IIb,76,20,sn2013ak,
37,SN2007qw,-19.4254,"u', g', r', i', z'",Ib or Ic,80,,sn2007qw,
39,SN2005hl,-17.694,"u', g', r', i', z'",Ib,86,,sn2005hl,
43,SN1983N,-17,"U, B, V",Ib,90,1,sn1983n,"also Ia,check"
229,SN2007qx,-18.043,"u', g', r', i', z'",Ib,90,1,sn2007qx,also Ic (check)
231,SN2005ks,-18.468,"u', g', r', i', z'",Ic,95,,sn2005ks,
45,SN2005hm,-16.943,"u', g', r', i', z'",Ib,96,,sn2005hm,
47,SN2007nc,-17.618,"u', g', r', i', z'",Ib,98,1,sn2007nc,
52,SN2006jo,-18.121,"u', g', r', i', z'",Ib,110,1,sn2006jo,
234,SN2006fe,-17.742,"u', g', r', i', z'",Ic,110,1,sn2006fe,also Ia check
53,SN1976B,-16,"pg, U, B, V",Ib,115,,sn1976b,
236,SN2005kr,-19.1,"u', g', r', i', z'",Ic,116,,sn2005kr,
237,SN2005em,-18.2,"u', g', r', i', z'",Ic or IIb??,121,,sn2005em,
238,SN2006nx,-19.1,"u', g', r', i', z'",Ic or Ib??,127,3,sn2006nx,
270,SN2012hn,-13,"Z, U, B, g', V, r', R, i', I, z'",Ic Pec ??,151,9,sn2012hn,
240,SN1962L,-15,"pg, U, B, V",Ic??? Ib??,154,1,sn1962l,
56,SN1954A,-17,"pg, U, B, V",Ib,167,12,sn1954a,
245,PTF12gzk,-18.41,"UVOT (W2, W1, M2, U, B, V), C, Z, B, g, V, r, R, i, I, Y, J, H, K",Ic Ic-pec?,213,53,ptf12gzk,
242,SDSS-II SN 14475,-18.6091,"u', g', r', i', z'",Ic,185,,sdss-ii sn 14475,
