Name,Mmax,Instruments/Bands,Type,Phot.,Spec.
SN2000ds,-14,"VLA, C, R",Ib,6,
SN2003bp,-17,"C, R",Ib,6,4
SN2016Q,-18.2,"w, y, g, r, i, z",Ib,6,
SN1995F,-17,"C, V, R",Ib,7,13
SN2016bkj,-20,i,Ib,7,
SN2001ai,-18.84,"C, R",Ib,8,2
LSQ13cum,-17,"y, g, r, i, z",Ib,9,
SN2000dt,-18,"C, R",Ib,10,2
SN2015Q,-10,"y, r, i, z",Ib,12,
SN2016bke,-20,"y, g, r, i, z",Ib,13,
SN2002ji,-17,"C, R",Ib,14,12
PS15bhi,-17,"w, y, g, r, i, z",Ib,14,
SN2016bir,-19,"y, g, r, i, z",Ib,14,1
SN2016bll,-16.77,"w, y, g, r, i, z",Ib,14,1
SN2004gv,-20,"V, r', R, i'",Ib,16,5
PSN J22411479-2147421,-17,"w, y, g, r, i, z",Ib,17,
SN2016bau,-15.95,"y, r, i, z",Ib,17,1
SN1991D,-18,"B, V, R",Ib,18,5
SN2006cb,-16,"B, V, r', i'",Ib,18,
SN2016aws,-17,"w, y, g, r, i, z",Ib,18,
SN2007ke,-14.6,"VLA, B, V, r', i'",Ib,19,
SN1997X,-14,"C, U, B, V, R, I",Ib,20,7
SN1984L,-17,"U, B, V, R",Ib,25,2
SN2010cn,-17,"UVOT (W2, W1, M2, U, B, V)",Ib,28,
OGLE-2014-SN-014,-18,I,Ib,35,
SN2001ej,-16,"C, B, V, R, I",Ib,37,8
SN2007ag,-15.6,"B, V, r', i'",Ib,38,2
SN1985F,-20,"B, V",Ib,38,
SN2001B,-16,"C, V, R",Ib,42,3
SN2014C,-14.37,"UVOT (W2, W1, M2, U, B, V)",Ib,43,
SN1984I,-18,"U, B, V",Ib,44,
SN2006dn,-17,"UVOT (W2, W1, M2, U, B, V), V, R",Ib,47,
SN2011am,-16,"UVOT (W2, W1, M2, U, B, V), C",Ib,61,
iPTF13bvn,-15.7,"UVOT (W2, W1, M2, U, B, V)",Ib,63,25
SN2006F,-10,"C, U, B, V, r', R, i'",Ib,67,
SN2007kj,-16.4,"B, V, r', i'",Ib,68,3
SN1972R,-13.8,"pv, B, V",Ib,77,
SN2007qw,-19.4254,"u', g', r', i', z'",Ib,80,
SN2007Y,-16,"UVOT (W2, W1, M2, U, B, V)",Ib,83,13
SN2005hl,-17.694,"u', g', r', i', z'",Ib,86,
SN2006lv,-13,"B, V, r', i'",Ib,87,6
SN2004dk,-20,"B, V, R, I",Ib,88,5
SN2004gq,-15,"Ks, U, B, V, r', R, i', J, H",Ib,88,25
SN1983N,-17,"U, B, V",Ib,90,1
SN2006ep,-16,"B, V, r', i'",Ib,91,5
SN2005hm,-16.943,"u', g', r', i', z'",Ib,96,
SN2007gl,-16.727,"u', g', r', i', z'",Ib,98,
SN2007nc,-17.618,"u', g', r', i', z'",Ib,98,1
SN1990I,-17,"B, V, R, I",Ib,101,13
SN2005mn,-17.024,"u', g', r', i', z'",Ib,104,
SN2004ao,-15,"U, B, V, R, I",Ib,107,30
SN2006qk,-17.26,"u', g', r', i', z'",Ib,107,2
SN2006jo,-18.121,"u', g', r', i', z'",Ib,110,1
SN1976B,-16,"pg, U, B, V",Ib,115,
SN2006lc,-15,"UVOT (W2, W1, M2, U, B, V), u', B, g', V, r', i', z'",Ib,146,5
SN2006gi,-15.9,"B, V, r', R, i', I",Ib,159,1
SN1954A,-17,"pg, U, B, V",Ib,167,12
SN2006ld,-15.4,"Ks, U, B, V, r', i', J, H",Ib,173,4
SN2009jf,-17,"Ks, u', B, V, r', i', J, H",Ib,185,44
SN2009iz,-17,"UVOT (W2, W1, M2, U, B, V), Ks, u', B, V, r', i', J, H",Ib,234,10
SN2007C,-14,"UVOT (W2, W1, M2, U, B, V), Ks, B, V, r', R, i', J, H",Ib,260,14
SN2006fo,-16.525,"Ks, u', B, g', V, r', R, i', z', J, H",Ib,321,7
SN2008D,-14,"Ks, U, B, V, r', R, i', I, J, H",Ib,343,56
SN2005hg,-17,"Ks, U, B, V, r', R, i', J, H",Ib,392,18
SN2005bf,-17.945,"Ks, U, B, V, r, r', i, i', J, H, K",Ib,551,33
SN1999ex,-16,"C, U, B, V, R, I",Ib,630,7
SN2013el,-17.541,"UVOT (W2, W1, M2, U, B, V)",Ib Pec,18,
SN2009er,-18,"C, Ks, B, V, r', i', J, H",Ib Pec,100,9
SN2007uy,-15,"Ks, B, V, r', i', J, H",Ib Pec,312,10
SN2010et,-16,"VLA, C",Ib-Ca,18,7
SN2005la,-16.4,"B, V, r', R, i', I",Ib-n/IIb-n,89,9
SN2011bl,-17.7,"UVOT (W2, W1, M2)",Ib/c,19,
Gaia16afw,-10,"w, y, g, r, i, z",Ib/c,19,1
SN2012P,-14.49,"UVOT (W2, W1, M2, U, B, V)",Ib/c,21,1
SDSS-II SN 12081,,"g', r'",Ib/c,25,
SN2006ir,-20,"V, r', i'",Ib/c,37,
